project_name,description,leader_email,start_date,end_date
Project 1,Auto project,leader@spycray.com,2025-01-02,2025-04-02
Project 2,Auto project,leader@spycray.com,2025-01-03,2025-04-03
Project 3,Auto project,leader@spycray.com,2025-01-04,2025-04-04
Project 4,Auto project,leader@spycray.com,2025-01-05,2025-04-05
Project 5,Auto project,leader@spycray.com,2025-01-06,2025-04-06
Project 6,Auto project,leader@spycray.com,2025-01-07,2025-04-07
Project 7,Auto project,leader@spycray.com,2025-01-08,2025-04-08
Project 8,Auto project,leader@spycray.com,2025-01-09,2025-04-09
Project 9,Auto project,leader@spycray.com,2025-01-10,2025-04-10
Project 10,Auto project,leader@spycray.com,2025-01-11,2025-04-11
Project 11,Auto project,leader@spycray.com,2025-01-12,2025-04-12
Project 12,Auto project,leader@spycray.com,2025-01-13,2025-04-13
Project 13,Auto project,leader@spycray.com,2025-01-14,2025-04-14
Project 14,Auto project,leader@spycray.com,2025-01-15,2025-04-15
Project 15,Auto project,leader@spycray.com,2025-01-16,2025-04-16
Project 16,Auto project,leader@spycray.com,2025-01-17,2025-04-17
Project 17,Auto project,leader@spycray.com,2025-01-18,2025-04-18
Project 18,Auto project,leader@spycray.com,2025-01-19,2025-04-19
Project 19,Auto project,leader@spycray.com,2025-01-20,2025-04-20
Project 20,Auto project,leader@spycray.com,2025-01-21,2025-04-21
Project 21,Auto project,leader@spycray.com,2025-01-22,2025-04-22
Project 22,Auto project,leader@spycray.com,2025-01-23,2025-04-23
Project 23,Auto project,leader@spycray.com,2025-01-24,2025-04-24
Project 24,Auto project,leader@spycray.com,2025-01-25,2025-04-25
Project 25,Auto project,leader@spycray.com,2025-01-26,2025-04-26
Project 26,Auto project,leader@spycray.com,2025-01-27,2025-04-27
Project 27,Auto project,leader@spycray.com,2025-01-28,2025-04-28
Project 28,Auto project,leader@spycray.com,2025-01-29,2025-04-29
Project 29,Auto project,leader@spycray.com,2025-01-30,2025-04-30
Project 30,Auto project,leader@spycray.com,2025-01-31,2025-05-01
Project 31,Auto project,leader@spycray.com,2025-02-01,2025-05-02
Project 32,Auto project,leader@spycray.com,2025-02-02,2025-05-03
Project 33,Auto project,leader@spycray.com,2025-02-03,2025-05-04
Project 34,Auto project,leader@spycray.com,2025-02-04,2025-05-05
Project 35,Auto project,leader@spycray.com,2025-02-05,2025-05-06
Project 36,Auto project,leader@spycray.com,2025-02-06,2025-05-07
Project 37,Auto project,leader@spycray.com,2025-02-07,2025-05-08
Project 38,Auto project,leader@spycray.com,2025-02-08,2025-05-09
Project 39,Auto project,leader@spycray.com,2025-02-09,2025-05-10
Project 40,Auto project,leader@spycray.com,2025-02-10,2025-05-11
Project 41,Auto project,leader@spycray.com,2025-02-11,2025-05-12
Project 42,Auto project,leader@spycray.com,2025-02-12,2025-05-13
Project 43,Auto project,leader@spycray.com,2025-02-13,2025-05-14
Project 44,Auto project,leader@spycray.com,2025-02-14,2025-05-15
Project 45,Auto project,leader@spycray.com,2025-02-15,2025-05-16
Project 46,Auto project,leader@spycray.com,2025-02-16,2025-05-17
Project 47,Auto project,leader@spycray.com,2025-02-17,2025-05-18
Project 48,Auto project,leader@spycray.com,2025-02-18,2025-05-19
Project 49,Auto project,leader@spycray.com,2025-02-19,2025-05-20
Project 50,Auto project,leader@spycray.com,2025-02-20,2025-05-21
Project 51,Auto project,leader@spycray.com,2025-02-21,2025-05-22
Project 52,Auto project,leader@spycray.com,2025-02-22,2025-05-23
Project 53,Auto project,leader@spycray.com,2025-02-23,2025-05-24
Project 54,Auto project,leader@spycray.com,2025-02-24,2025-05-25
Project 55,Auto project,leader@spycray.com,2025-02-25,2025-05-26
Project 56,Auto project,leader@spycray.com,2025-02-26,2025-05-27
Project 57,Auto project,leader@spycray.com,2025-02-27,2025-05-28
Project 58,Auto project,leader@spycray.com,2025-02-28,2025-05-29
Project 59,Auto project,leader@spycray.com,2025-03-01,2025-05-30
Project 60,Auto project,leader@spycray.com,2025-03-02,2025-05-31
Project 61,Auto project,leader@spycray.com,2025-03-03,2025-06-01
Project 62,Auto project,leader@spycray.com,2025-03-04,2025-06-02
Project 63,Auto project,leader@spycray.com,2025-03-05,2025-06-03
Project 64,Auto project,leader@spycray.com,2025-03-06,2025-06-04
Project 65,Auto project,leader@spycray.com,2025-03-07,2025-06-05
Project 66,Auto project,leader@spycray.com,2025-03-08,2025-06-06
Project 67,Auto project,leader@spycray.com,2025-03-09,2025-06-07
Project 68,Auto project,leader@spycray.com,2025-03-10,2025-06-08
Project 69,Auto project,leader@spycray.com,2025-03-11,2025-06-09
Project 70,Auto project,leader@spycray.com,2025-03-12,2025-06-10
Project 71,Auto project,leader@spycray.com,2025-03-13,2025-06-11
Project 72,Auto project,leader@spycray.com,2025-03-14,2025-06-12
Project 73,Auto project,leader@spycray.com,2025-03-15,2025-06-13
Project 74,Auto project,leader@spycray.com,2025-03-16,2025-06-14
Project 75,Auto project,leader@spycray.com,2025-03-17,2025-06-15
Project 76,Auto project,leader@spycray.com,2025-03-18,2025-06-16
Project 77,Auto project,leader@spycray.com,2025-03-19,2025-06-17
Project 78,Auto project,leader@spycray.com,2025-03-20,2025-06-18
Project 79,Auto project,leader@spycray.com,2025-03-21,2025-06-19
Project 80,Auto project,leader@spycray.com,2025-03-22,2025-06-20
Project 81,Auto project,leader@spycray.com,2025-03-23,2025-06-21
Project 82,Auto project,leader@spycray.com,2025-03-24,2025-06-22
Project 83,Auto project,leader@spycray.com,2025-03-25,2025-06-23
Project 84,Auto project,leader@spycray.com,2025-03-26,2025-06-24
Project 85,Auto project,leader@spycray.com,2025-03-27,2025-06-25
Project 86,Auto project,leader@spycray.com,2025-03-28,2025-06-26
Project 87,Auto project,leader@spycray.com,2025-03-29,2025-06-27
Project 88,Auto project,leader@spycray.com,2025-03-30,2025-06-28
Project 89,Auto project,leader@spycray.com,2025-03-31,2025-06-29
Project 90,Auto project,leader@spycray.com,2025-04-01,2025-06-30
Project 91,Auto project,leader@spycray.com,2025-04-02,2025-07-01
Project 92,Auto project,leader@spycray.com,2025-04-03,2025-07-02
Project 93,Auto project,leader@spycray.com,2025-04-04,2025-07-03
Project 94,Auto project,leader@spycray.com,2025-04-05,2025-07-04
Project 95,Auto project,leader@spycray.com,2025-04-06,2025-07-05
Project 96,Auto project,leader@spycray.com,2025-04-07,2025-07-06
Project 97,Auto project,leader@spycray.com,2025-04-08,2025-07-07
Project 98,Auto project,leader@spycray.com,2025-04-09,2025-07-08
Project 99,Auto project,leader@spycray.com,2025-04-10,2025-07-09
Project 100,Auto project,leader@spycray.com,2025-04-11,2025-07-10
Project 101,Auto project,leader@spycray.com,2025-04-12,2025-07-11
Project 102,Auto project,leader@spycray.com,2025-04-13,2025-07-12
Project 103,Auto project,leader@spycray.com,2025-04-14,2025-07-13
Project 104,Auto project,leader@spycray.com,2025-04-15,2025-07-14
Project 105,Auto project,leader@spycray.com,2025-04-16,2025-07-15
Project 106,Auto project,leader@spycray.com,2025-04-17,2025-07-16
Project 107,Auto project,leader@spycray.com,2025-04-18,2025-07-17
Project 108,Auto project,leader@spycray.com,2025-04-19,2025-07-18
Project 109,Auto project,leader@spycray.com,2025-04-20,2025-07-19
Project 110,Auto project,leader@spycray.com,2025-04-21,2025-07-20
Project 111,Auto project,leader@spycray.com,2025-04-22,2025-07-21
Project 112,Auto project,leader@spycray.com,2025-04-23,2025-07-22
Project 113,Auto project,leader@spycray.com,2025-04-24,2025-07-23
Project 114,Auto project,leader@spycray.com,2025-04-25,2025-07-24
Project 115,Auto project,leader@spycray.com,2025-04-26,2025-07-25
Project 116,Auto project,leader@spycray.com,2025-04-27,2025-07-26
Project 117,Auto project,leader@spycray.com,2025-04-28,2025-07-27
Project 118,Auto project,leader@spycray.com,2025-04-29,2025-07-28
Project 119,Auto project,leader@spycray.com,2025-04-30,2025-07-29
Project 120,Auto project,leader@spycray.com,2025-05-01,2025-07-30
